date,daily_closedPnL,daily_volume,buy_trades,sell_trades,total_trades
2025-09-03,19773.457395,246318.30604,947,475,1422
2025-09-04,43120.444797,3010140.18608,1764,2203,3967
2025-10-01,-10116.875552,1072005.86667,366,453,819
2025-10-02,63908.49465,9002006.58675,360,529,889
2025-10-03,-10010.027269999999,726179.78717,1570,1341,2911
2025-10-04,158261.822261,3124622.850807684,1137,990,2127
2025-11-01,2269.080536,101784.5848,166,117,283
2025-11-02,-6093.784817,1275165.26114,362,486,848
2025-11-03,-76880.729036,21838514.43294,2120,1166,3286
2025-11-04,126406.479081,631096.46176,312,784,1096
2025-12-01,5742.241803,675113.69138,81,521,602
2025-12-02,19848.635032,1189000.53382,406,625,1031
2025-12-03,288105.984215,12354990.93712,1647,2321,3968
2025-12-04,410419.694533,1734379.95047,800,1309,2109
